Ref,Text Before,Named Entity,Text After,Label,Status
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 58 (Of Estates in Remainder) 12","There is likewise a double contingency when estates are limited over in the alternative, or in succession. If the previous estate takes effect, the subsequent limitation awaits its determination, and then vests. But if the first estate never vests by the happening of the contingency, then the subsequent limitation vests at the time when the first ought to have vested ","12. Doug. ub. sup. The New York Revised Statutes 13. N.Y. Revised Statutes, vol. i. 724. sec. 25",". have provided for this case of limitations in the alternative, by declaring, that two or more future estates may be created to take effect in the alternative, so that if the first in order shall fail to vest, the next in succession shall be substituted for it., and take effect accordingly.",Citation,tp
"Madison's Notes on the Constitutional Convention, August 28 50",On the question (on ,art: XIV,.),Citation,tp
"Madison's Notes on the Constitutional Convention, May 30 30","Mr. Reed moved that the whole clause relating to the point of Representation be postponed; reminding the Come. that the deputies from Delaware were restrained by their commission from assenting to any change of the rule of suffrage, and in case such a change should be fixed on, it might become their duty to retire from the ",Convention,.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter III Of The Judicial Department 191","Fines, or solemn agreements acknowledged and entered of record, are well known to be of very high antiquity at the common law. It is generally, I believe, supposed, that they took place only in pleas respecting land. But the fact is unquestionably otherwise. Fines were executed in other pleas. If either of the parties violated the agreement, a suit upon it was commenced. When they both appeared in court; if they both acknowledged the writing containing the agreement; or if the agreement was stated to be such by the justices, before whom it was taken, and this was testified by their record; then the party, who had broken it, was in the king’s mercy, and was attached till he gave good security to perform the concord in future—either the specifick thing agreed on, if that was possible; or otherwise, in some instances, an equivalent. ",z. 1. Reev. 119,. Can a power to adjudge a specifick performance be expressed more unequivocally or more strongly? This instance is referred to a period so ancient as the reign of Henry the second.,Citation,tp
"Madison's Notes on the Constitutional Convention, June 02 31",On Mr. ,Dickenson's motion for making Executive removeable by Natl. Legislature, at request of majority of State Legislatures (was also rejected) all the States (being in the negative) except Delaware which (gave an) affirmative vote.,Citation,tp
"Madison's Notes on the Constitutional Convention, August 21 51",Question on ,sect: 4. art VII,". as far as to ""no tax shl. be laid on exports — (It passed in the affirmative) —",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 8 (Of Truces, Passports, and Treaties of Peace) 27","Treaties of every kind, when made by the competent authority, are as obligatory, upon nations, as private contracts are binding upon individuals; and they are to receive a fair and liberal interpretation, and to be kept with the most scrupulous good faith. Their meaning is to be ascertained by the same rules of construction and course of reasoning which we apply to the interpretation of private contracts. ","38. Ibid. b. 2. c. 17. Eyre, Ch. J in I Bos. 8. Pull. 438. 439",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 8 (Of Truces, Passports, and Treaties of Peace) 27",. ,"Opinion of Sir James Marriot, cited in 1 Chitty on Commercial Law, 44",". If a treaty should in fact be violated by one of the contracting parties, either by proceedings incompatible with the particular nature of the treaty, or by an intentional breach of any of its articles, it rests alone with the injured party to pronounce it broken. The treaty, in such a case, is not absolutely void, but voidable, at. the election of the injured party. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 8 (Of Truces, Passports, and Treaties of Peace) 27",". If a treaty should in fact be violated by one of the contracting parties, either by proceedings incompatible with the particular nature of the treaty, or by an intentional breach of any of its articles, it rests alone with the injured party to pronounce it broken. The treaty, in such a case, is not absolutely void, but voidable, at. the election of the injured party. ","39. Grotius, b. 2. c. 15. sec. 15. b. 3. c. 20 sec. 35-38",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 8 (Of Truces, Passports, and Treaties of Peace) 27",. ,"Burlamaqui, p. 355 part 4. C. 14, sec. 8",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 8 (Of Truces, Passports, and Treaties of Peace) 27",. ,Vattel b. 4 c. 4. sec. 54,". If he chooses not to come to a rupture, the treaty remains obligatory. He may waive or remit the infraction committed, or he may demand a just satisfaction.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter III Of The Judicial Department 69","Among the dispositions and arrangements of judicial power, the institution of counties has long made a conspicuous figure. The division of England into counties is generally ascribed to the legislative genius of the great Alfred. His genius was unquestionably equal to the task; but part of it was performed before his reign. A country so large as some of the kingdoms of the heptarchy could not, according to the policy and the exigencies of the times, enjoy the administration of justice without a division into subordinate districts. Accordingly, in the old laws, before the union of England under Egbert, ",10. King Egbert of Wessex (c. 770–839,) was king from 802 to 839 and oversaw Wessex’s rise to become the most powerful of the Anglo-Saxon kingdoms. we find the mention of sheriffs and shires. ,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter III Of The Judicial Department 69",) was king from 802 to 839 and oversaw Wessex’s rise to become the most powerful of the Anglo-Saxon kingdoms. we find the mention of sheriffs and shires. ,r. Sulliv. 245,". But though Alfred did not commence, he undoubtedly extended the county establishments of England. Before his reign, the Danes had made extensive settlements in the northern parts of the kingdom. During some years after the commencement of his reign, they confined him within very narrow limits, and ravaged the rest according to their savage pleasure. At last, however, this great man, whom so many embarrassments surrounded, and who surmounted so many embarrassments, obliged those, who had viewed him with supercilious contempt, to acknowledge him as their superiour and lord. After his conquest over the Danes, he then settled the boundaries of the counties through every part of England. In the southern parts of the kingdom, they were, probably, laid out according to the former limits. In the northern parts, which were less fertile and more uncultivated, they were laid out on a larger scale. Hence, to this day, we find the largest counties in the north of England.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter XII Of The Natural Rights Of Individuals 22","If this view be a just view of things, then, under civil society, man is not only made for, but made by the government: he is nothing but what the society frames: he can claim nothing but what the society provides. His natural state and his natural rights are withdrawn altogether from notice: “It is the civil social man,” says Mr. ","Burke, k. Refl. on Fr. Rev. 47",". “and no other, whom I have in my contemplation.”",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part IV (Of the Law Concerning the Rights of Persons), Lecture 29 (Of Parent and Child) 5","The wants and weaknesses of children render it necessary that some person maintain them, and the voice of nature has pointed out the parent as the most fit and proper person. The laws and customs of all nations have enforced this plain precept of universal law. ","2. Grotius, b. 2. c. 7. s. 4",". The Athenian and the Roman laws were so strict in enforcing the performance of this natural obligation of the parent, that they would not allow the father to disinherit the child from passion or prejudice,- but only for substantial reasons, to be approved of in a court of justice. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part IV (Of the Law Concerning the Rights of Persons), Lecture 29 (Of Parent and Child) 5",". The Athenian and the Roman laws were so strict in enforcing the performance of this natural obligation of the parent, that they would not allow the father to disinherit the child from passion or prejudice,- but only for substantial reasons, to be approved of in a court of justice. ",3. Potter’s Greek Antiq. vol. ii. 351,. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part IV (Of the Law Concerning the Rights of Persons), Lecture 29 (Of Parent and Child) 5",. ,"Dig. 28. 2. 30. Novel, 115. ch. 3",.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 24 Powers of Congress (Incidental) 1249","The character of the clause equally forbids any presumption of an intention to use the restrictive interpretation. In the first place, the clause is placed among the powers of congress, and not among the limitations on those powers. In the next place, its terms purport to enlarge, and not to diminish, the powers vested in the government. It purports, on its face, to be an additional power, not a restriction on those already granted. ","M’CuIloch v. Maryland, 4 Wheat. R. 419, 420",". If it does not, in fact, (as seems the true construction,) give any new powers, it affirms the right to use all necessary and proper means to carry ‘into execution the other powers, and thus makes an express power, what would otherwise be merely an implied power. In either aspect, it is impossible to construe it to be a restriction. If it have any effect, it is to remove the implication of any restriction. If a restriction had been intended, it is impossible, that the framers of the constitution should have concealed it under phraseology, which purports to enlarge, or at least give the most ample scope to the other powers. There was every motive on their part to give point and clearness to every restriction of national power; for they well knew, that the national government would be more endangered in its adoption by its supposed strength, than by its weakness. It is inconceivable, that they should have disguised a restriction upon its powers under the form of a grant of power. They would have sought other terms, and have imposed the restraint by negatives. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 24 Powers of Congress (Incidental) 1249",". If it does not, in fact, (as seems the true construction,) give any new powers, it affirms the right to use all necessary and proper means to carry ‘into execution the other powers, and thus makes an express power, what would otherwise be merely an implied power. In either aspect, it is impossible to construe it to be a restriction. If it have any effect, it is to remove the implication of any restriction. If a restriction had been intended, it is impossible, that the framers of the constitution should have concealed it under phraseology, which purports to enlarge, or at least give the most ample scope to the other powers. There was every motive on their part to give point and clearness to every restriction of national power; for they well knew, that the national government would be more endangered in its adoption by its supposed strength, than by its weakness. It is inconceivable, that they should have disguised a restriction upon its powers under the form of a grant of power. They would have sought other terms, and have imposed the restraint by negatives. ","M’Culloch v. Maryland, 4 Wheat. R. 420",". And what is equally strong, no one, in or out of the state conventions, at the time when the constitution was put upon its deliverance before the people, ever dreamed of or suggested, that it contained a restriction of power. The whole argument on each side, of attack and of defence, gave it the positive form of an express power, and not of an express restriction.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter VI The Subject Continued Of Juries 61","The most ordinary trial among the Saxons was, upon a traverse of the matter in fact, by witnesses before the jurors; their votes made the verdict, and determined the matter in fact. In former times, continues he, it was questionless a confused manner of trial by votes of the whole multitude, which made the verdict hard to be discerned. But time taught them better advice, to bring the voters to a certain number, according to the Grecian way. ",h. Bac. on Gov. 56,.,Citation,tp
